step,elapsed_sec,best_agent,best_loss,best_cell_acc,best_board_acc,avg_cell_acc,avg_board_acc,theta_spread,j_plus,j_minus,update_norm,theta_l2,theta_max_abs,theta_finite
4000,2910.694,1,0.6809182614088058,0.6413302951388888,0.0,0.6321309407552083,0.0,0.00020951975602656603,-0.680418848991394,-0.6829028725624084,9.838744517765008e-06,26.408065795898438,1.0014827251434326,True
4250,3092.62,3,0.6809963285923004,0.6416015625,0.0,0.6316358778211806,0.0,0.00020266724459361285,-0.6812377572059631,-0.6815465092658997,3.863062829623232e-06,26.408212661743164,1.001388669013977,True
4500,3274.423,3,0.6810869425535202,0.6404758029513888,0.0,0.6315070258246528,0.0,0.0001962663809536025,-0.6801862716674805,-0.6824084520339966,8.334922313224524e-06,26.40821647644043,1.0013833045959473,True
4750,3456.271,0,0.6812939047813416,0.6388075086805556,0.0,0.6299268934461806,0.0,0.0001902669173432514,-0.6821615695953369,-0.6800376772880554,7.795832971169148e-06,26.40793800354004,1.0008642673492432,True
5000,3638.095,0,0.6806836277246475,0.6459689670138888,0.0,0.6329142252604166,0.0,0.00018463449669070542,-0.6819027662277222,-0.6817495226860046,3.103184553765459e-06,26.407930374145508,1.0008705854415894,True
5250,3820.498,3,0.6810906231403351,0.6404351128472222,0.0,0.6334601508246528,0.0,0.0001793283154256642,-0.682205855846405,-0.6802331209182739,6.8702888711413834e-06,26.408239364624023,1.0013712644577026,True
5500,4002.885,2,0.6810807287693024,0.6397976345486112,0.0,0.6287197536892362,0.0,0.00017432130698580295,-0.6813384294509888,-0.6818099617958069,3.0969940780778416e-06,26.40796661376953,1.0014560222625732,True
5750,4185.202,2,0.680586963891983,0.6458062065972222,0.0,0.6331007215711806,0.0,0.00016958241758402437,-0.6850305199623108,-0.683566689491272,5.110915026307339e-06,26.407987594604492,1.0014533996582031,True
6000,4367.555,2,0.6812577247619629,0.6378038194444444,0.0,0.626461452907986,0.0,0.00016509406850673258,-0.6812946796417236,-0.6799984574317932,4.5461342779162806e-06,26.408002853393555,1.0014493465423584,True
6250,4548.432,2,0.6815368980169296,0.6343858506944444,0.0,0.6313442654079862,0.0,0.00016083069203887135,-0.6865845918655396,-0.6841537952423096,7.416775133606279e-06,26.408021926879883,1.0014451742172241,True
6500,4728.356,2,0.68197001516819,0.6293402777777778,0.0,0.6230231391059028,0.0,0.00015677668852731586,-0.6832031607627869,-0.6827061176300049,2.6345442165620625e-06,26.408042907714844,1.0014443397521973,True
6750,4908.112,0,0.6819955706596375,0.6301676432291666,0.0,0.6281772189670138,0.0,0.00015291405725292861,-0.6818476319313049,-0.6810437440872192,3.0858175250614295e-06,26.407907485961914,1.0008925199508667,True
7000,5087.83,1,0.6810203790664673,0.6402723524305556,0.0,0.6367153591579862,0.0,0.00014922916307114065,-0.6818719506263733,-0.6821731925010681,2.182708385589649e-06,26.408206939697266,1.0014081001281738,True
