phase,step,elapsed_sec,train_loss,best_step,event,loss,cell_acc,board_acc,obj_ce,obj_prob_true,obj_margin,obj_soft_cell_acc,obj_soft_board_acc,obj_hard_cell_acc,obj_hard_board_acc,obj_entropy,objective
adam,2500,547.311,0.2160213589668274,1250,,0.22020197473466396,0.9208713107638888,0.1484375,0.22020197473466396,0.8701613247394562,0.820807583630085,0.910403773188591,0.06695245858281851,0.9208713099360466,0.1484375,0.22548425570130348,-0.22020197473466396
adam,2750,599.389,0.24368858337402344,1250,,0.23670749738812447,0.9112616644965278,0.1416015625,0.23670749738812447,0.8601028919219971,0.7986451163887978,0.899322584271431,0.0657808119431138,0.9112616628408432,0.1416015625,0.23437444679439068,-0.23670749738812447
adam,3000,652.593,0.23387227952480316,1250,,0.23007447086274624,0.9153849283854166,0.1337890625,0.23007447086274624,0.857846237719059,0.8017786145210266,0.9008893221616745,0.058314860332757235,0.9153849333524704,0.1337890625,0.24692092649638653,-0.23007447086274624
adam,3250,705.338,0.2307121753692627,1250,,0.22778582759201527,0.9142523871527778,0.1455078125,0.22778582759201527,0.8466753885149956,0.7877713218331337,0.8938856720924377,0.05456368811428547,0.9142523854970932,0.1455078125,0.2768009752035141,-0.22778582759201527
adam,3500,760.829,0.24292802810668945,1250,,0.2479910496622324,0.90374755859375,0.150390625,0.2479910496622324,0.8479356318712234,0.7754327207803726,0.8877163529396057,0.07213102653622627,0.9037475511431694,0.150390625,0.25195399299263954,-0.2479910496622324
adam,3750,815.359,0.22783783078193665,1250,,0.24025646410882473,0.9058159722222222,0.150390625,0.24025646410882473,0.8642394468188286,0.7948988378047943,0.8974494189023972,0.08120818343013525,0.9058159738779068,0.150390625,0.21375840157270432,-0.24025646410882473
adam,4000,867.902,0.21666815876960754,1250,,0.22198345698416233,0.9152628580729166,0.15625,0.22198345698416233,0.8636021316051483,0.8048741593956947,0.9024371281266212,0.081124029122293,0.9152628630399704,0.15625,0.2346463706344366,-0.22198345698416233
adam,4250,921.289,0.23573701083660126,1250,,0.2095936443656683,0.9207899305555556,0.130859375,0.2095936443656683,0.8732724338769913,0.8165530860424042,0.9082765206694603,0.06251633213832974,0.9207899272441864,0.130859375,0.21516756527125835,-0.2095936443656683
adam,4500,974.413,0.20803004503250122,1250,,0.2402691077440977,0.9088473849826388,0.1572265625,0.2402691077440977,0.8616149723529816,0.7945856526494026,0.8972928375005722,0.06812797905877233,0.908847376704216,0.1572265625,0.22280243784189224,-0.2402691077440977
adam,4750,1028.02,0.23316867649555206,1250,,0.22169816121459007,0.9145575629340278,0.1494140625,0.22169816121459007,0.8596848174929619,0.7979911714792252,0.8989955857396126,0.054288958199322224,0.9145575612783432,0.1494140625,0.2406756393611431,-0.22169816121459007
adam,5000,1082.038,0.23355314135551453,1250,,0.24533326365053654,0.9013536241319444,0.13671875,0.24533326365053654,0.8630446195602417,0.7856159135699272,0.8928079530596733,0.0780186066403985,0.901353619992733,0.13671875,0.20815368555486202,-0.24533326365053654
adam,5250,1134.68,0.1967773586511612,1250,,0.21306883916258812,0.9183146158854166,0.1552734375,0.21306883916258812,0.8673780187964439,0.8101343438029289,0.9050671458244324,0.07639343151822686,0.9183146134018898,0.1552734375,0.2301936261355877,-0.21306883916258812
adam,5500,1187.935,0.2194824069738388,5500,best,0.2170975897461176,0.9166598849826388,0.185546875,0.2170975897461176,0.8660863637924194,0.8058730885386467,0.9029365703463554,0.08282381342723966,0.916659876704216,0.185546875,0.22944824770092964,-0.2170975897461176
adam,5750,1240.069,0.22481995820999146,5500,,0.21753396466374397,0.9171346028645834,0.1572265625,0.21753396466374397,0.8681146129965782,0.8125206008553505,0.906260296702385,0.07985242595896125,0.9171345978975296,0.1572265625,0.22746030800044537,-0.21753396466374397
