step,elapsed_sec,best_agent,best_loss,best_cell_acc,best_board_acc,avg_cell_acc,avg_board_acc,theta_spread,j_plus,j_minus,update_norm,theta_l2,theta_max_abs,theta_finite
4000,1408.144,3,0.7024002969264984,0.455078125,0.0,0.45150390625000003,0.0,0.0002084651350742206,-0.7038159370422363,-0.7046557664871216,4.809527126781177e-06,26.24799919128418,1.0014333724975586,True
4250,1496.219,0,0.7027957141399384,0.451953125,0.0,0.4488671875,0.0,0.00020164783927612007,-0.7027275562286377,-0.7027177214622498,3.468130898909294e-06,26.2480525970459,1.000911831855774,True
4500,1584.142,0,0.7021396458148956,0.45625,0.0,0.4523046875,0.0,0.00019527891709003597,-0.701521635055542,-0.7034836411476135,7.451799319824204e-06,26.248043060302734,1.0009195804595947,True
4750,1671.948,1,0.7026210576295853,0.453359375,0.0,0.45109375,0.0,0.00018931375234387815,-0.7038905620574951,-0.7022895812988281,6.1466193983505946e-06,26.248184204101562,1.0015714168548584,True
5000,1759.936,3,0.7024620622396469,0.4546875,0.0,0.44966796875000004,0.0,0.00018371030455455184,-0.7039071917533875,-0.701661229133606,7.812615876900963e-06,26.24806022644043,1.0013885498046875,True
5250,1848.083,0,0.7023212164640427,0.455234375,0.0,0.4518359375,0.0,0.00017843344539869577,-0.7044010162353516,-0.7024821639060974,6.653654963884037e-06,26.248022079467773,1.0009338855743408,True
5500,1936.158,2,0.7024684995412827,0.454453125,0.0,0.45306640625,0.0,0.0001734527904773131,-0.7025324106216431,-0.704318106174469,6.068562015570933e-06,26.248226165771484,1.0015422105789185,True
5750,2024.198,0,0.7025855630636215,0.453203125,0.0,0.4510546875,0.0,0.00016873814456630498,-0.7012324333190918,-0.7034013867378235,6.985863365116529e-06,26.248014450073242,1.0009411573410034,True
6000,2112.3,1,0.7019941359758377,0.458046875,0.0,0.4526171875,0.0,0.0001642714923946187,-0.7043946981430054,-0.703356921672821,3.8373455026885495e-06,26.248245239257812,1.0015453100204468,True
6250,2200.376,3,0.7034386247396469,0.448046875,0.0,0.4452734375,0.0,0.00016002915799617767,-0.703830897808075,-0.7020084857940674,5.709215656679589e-06,26.248144149780273,1.0013561248779297,True
6500,2288.397,2,0.7024993747472763,0.454296875,0.0,0.45158203124999996,0.0,0.0001559967640787363,-0.701785147190094,-0.7021772861480713,2.354604703214136e-06,26.248289108276367,1.001529574394226,True
6750,2376.422,3,0.7029080986976624,0.4515625,0.0,0.44865234374999996,0.0,0.00015215552411973476,-0.7031947374343872,-0.7033765316009521,2.044857637883979e-06,26.248178482055664,1.0013507604599,True
7000,2464.527,0,0.7022660374641418,0.45578125,0.0,0.4516015625,0.0,0.00014849133731331676,-0.703256368637085,-0.7029918432235718,2.023196202571853e-06,26.248001098632812,1.000951886177063,True
7250,2552.6,1,0.7023134529590607,0.455546875,0.0,0.45216796875,0.0,0.00014499113603960723,-0.7038658261299133,-0.7011454105377197,7.5267639658704866e-06,26.24831199645996,1.0015373229980469,True
7500,2640.658,1,0.7033270448446274,0.448671875,0.0,0.44634765624999995,0.0,0.00014164327876642346,-0.701489269733429,-0.705599308013916,1.1000392078130972e-05,26.24832534790039,1.00153648853302,True
